# t_sec   Poft_Rzmin  Poft_Rzmax
3.032439999999999802e+00 2.488894964394671219e-08 5.902070031426310010e-08
3.052070000000000061e+00 2.503722362939931545e-08 5.940509878044304153e-08
3.071810000000000151e+00 2.511804440410842867e-08 5.972895190474576140e-08
3.091689999999999827e+00 2.521913547659972640e-08 5.998189788869795294e-08
3.111699999999999910e+00 2.537957930494037213e-08 6.027107573321059699e-08
3.131829999999999892e+00 2.546708722965663884e-08 6.040552919525683440e-08
3.152099999999999902e+00 2.556892884689349030e-08 6.066453988832137261e-08
3.172489999999999810e+00 2.573388205940480233e-08 6.105722081089176470e-08
3.193020000000000191e+00 2.588791815724196575e-08 6.140459511170773695e-08
3.213680000000000092e+00 2.605770126914442926e-08 6.180905570995643621e-08
3.234480000000000022e+00 2.620283427723858514e-08 6.210910367260858118e-08
3.255409999999999915e+00 2.625206326096665822e-08 6.236617376690111214e-08
3.276470000000000216e+00 2.629707222348725121e-08 6.269311542702865394e-08
3.297670000000000101e+00 2.644761593281345218e-08 6.310328468168431120e-08
3.319010000000000016e+00 2.660018101061759249e-08 6.330954289565513523e-08
3.340479999999999894e+00 2.673676342328342080e-08 6.336349831792369497e-08
3.362099999999999866e+00 2.681841496025069487e-08 6.362346620363350638e-08
3.383859999999999868e+00 2.687253898448153628e-08 6.390510426327906436e-08
3.405749999999999833e+00 2.693226295415657546e-08 6.422897750361932883e-08
3.427789999999999893e+00 2.690938897152274689e-08 6.438902073798527859e-08
3.449969999999999981e+00 2.697365834541047107e-08 6.451151632820591117e-08
3.472290000000000099e+00 2.715355080061151335e-08 6.487739076377415251e-08
3.494759999999999867e+00 2.731559025030685800e-08 6.532534052940730507e-08
3.517370000000000108e+00 2.740363780699195466e-08 6.512469102992100204e-08
3.540129999999999999e+00 2.752223074573950681e-08 6.503189453188747914e-08
3.563039999999999985e+00 2.764991394248980318e-08 6.515949263428213937e-08
3.586100000000000065e+00 2.772252313658492596e-08 6.499852154638092674e-08
3.609300000000000175e+00 2.786705710149712146e-08 6.529098341369425641e-08
3.632649999999999935e+00 2.803150524421007098e-08 6.564646433307902394e-08
3.656159999999999854e+00 2.819700558533860027e-08 6.601827380674620769e-08
3.679819999999999869e+00 2.837938779152178261e-08 6.642963050762204213e-08
3.703629999999999978e+00 2.852390983167997080e-08 6.676492948431359666e-08
3.727590000000000181e+00 2.868189448431898439e-08 6.718333449916549641e-08
3.751710000000000100e+00 2.880942215882737850e-08 6.743362532691441386e-08
3.775990000000000180e+00 2.896990070632117903e-08 6.764219355532036197e-08
3.800419999999999909e+00 2.903709162108003944e-08 6.792583186001693461e-08
3.825009999999999799e+00 2.901602596566232482e-08 6.815234466418700637e-08
3.849759999999999849e+00 2.915817716184375878e-08 6.844249974666749248e-08
3.874680000000000124e+00 2.934346650475358687e-08 6.880828519820808332e-08
3.899750000000000050e+00 2.953886104282425472e-08 6.928469643400230185e-08
3.924980000000000135e+00 2.967974358892136763e-08 6.959532340493171303e-08
3.950380000000000003e+00 2.982279124529114423e-08 6.981835145890639653e-08
3.975940000000000030e+00 2.995639732332170518e-08 7.008674114646080872e-08
4.001669999999999838e+00 3.005694864324026027e-08 7.029776255078610760e-08
4.027560000000000251e+00 3.018250378066088488e-08 7.032384749075829247e-08
4.053619999999999557e+00 3.030610325031472983e-08 7.052782074214029483e-08
4.079850000000000421e+00 3.048702615840796124e-08 7.101203734663342656e-08
4.106250000000000178e+00 3.065712660071850743e-08 7.141840559196567570e-08
4.132819999999999716e+00 3.076369815228920476e-08 7.158143757311900384e-08
4.159559999999999924e+00 3.087263504745848248e-08 7.166526040989661098e-08
4.186480000000000423e+00 3.103763662690671264e-08 7.199832247956568663e-08
4.213569999999999816e+00 3.124767007766480528e-08 7.245459211809998893e-08
4.240829999999999878e+00 3.144808216644985991e-08 7.291613304669745111e-08
4.268270000000000231e+00 3.164335996529664636e-08 7.335668679124493423e-08
4.295889999999999986e+00 3.185008992702229442e-08 7.378380759401611492e-08
4.323690000000000033e+00 3.201660464666225539e-08 7.414908350800792517e-08
4.351670000000000371e+00 3.218867690168521422e-08 7.457741002279193445e-08
4.379819999999999602e+00 3.229920187198629117e-08 7.492765406081949005e-08
4.408159999999999634e+00 3.224460044045465774e-08 7.511512692495168186e-08
4.436689999999999579e+00 3.227866593615379323e-08 7.503035074948829217e-08
4.465399999999999814e+00 3.229131131170390032e-08 7.499975921934342597e-08
4.494290000000000340e+00 3.236567092686223652e-08 7.540176534633558289e-08
4.523369999999999891e+00 3.260308823341154135e-08 7.586833548467407790e-08
4.552640000000000242e+00 3.278785391818732627e-08 7.635015749837735719e-08
4.582099999999999618e+00 3.295907593526060540e-08 7.680856883724164776e-08
4.611749999999999794e+00 3.318690144327243470e-08 7.737002649150664262e-08
4.641589999999999883e+00 3.318208012558908338e-08 7.751211631613287591e-08
